time,precipitation,precipitation_probability,temperature_2m
2025-12-06T22:00:00.000Z,0,0,7.05649995803833
2025-12-06T23:00:00.000Z,0,0,7.106499671936035
2025-12-07T00:00:00.000Z,0,0,7.2064995765686035
2025-12-07T01:00:00.000Z,0,0,7.05649995803833
2025-12-07T02:00:00.000Z,0,0,6.406499862670898
2025-12-07T03:00:00.000Z,0,0,6.606499671936035
2025-12-07T04:00:00.000Z,0,0,6.30649995803833
2025-12-07T05:00:00.000Z,0,0,6.05649995803833
2025-12-07T06:00:00.000Z,0,0,5.656499862670898
2025-12-07T07:00:00.000Z,0,0,6.106499671936035
2025-12-07T08:00:00.000Z,0,0,6.606499671936035
2025-12-07T09:00:00.000Z,0,1,6.756499767303467
2025-12-07T10:00:00.000Z,0,2,6.7064995765686035
2025-12-07T11:00:00.000Z,0,3,7.05649995803833
2025-12-07T12:00:00.000Z,0,3,7.856499671936035
2025-12-07T13:00:00.000Z,0,2,7.9564995765686035
2025-12-07T14:00:00.000Z,0,1,8.306500434875488
2025-12-07T15:00:00.000Z,0,2,8.356500625610352
2025-12-07T16:00:00.000Z,0,0,8.106500625610352
2025-12-07T17:00:00.000Z,0,0,8.056500434875488
2025-12-07T18:00:00.000Z,0,1,8.156499862670898
2025-12-07T19:00:00.000Z,0,1,8.206500053405762
2025-12-07T20:00:00.000Z,0,1,8.256500244140625
2025-12-07T21:00:00.000Z,0,1,8.056500434875488
2025-12-07T22:00:00.000Z,0,1,7.906499862670898
2025-12-07T23:00:00.000Z,0,1,7.906499862670898
2025-12-08T00:00:00.000Z,0,3,7.656499862670898
2025-12-08T01:00:00.000Z,0,9,7.356499671936035
2025-12-08T02:00:00.000Z,0,40,7.356499671936035
2025-12-08T03:00:00.000Z,0,40,7.30649995803833
2025-12-08T04:00:00.000Z,0,19,7.30649995803833
2025-12-08T05:00:00.000Z,0,7,7.256499767303467
2025-12-08T06:00:00.000Z,0,0,7.156499862670898
2025-12-08T07:00:00.000Z,0,0,7.05649995803833
2025-12-08T08:00:00.000Z,0,0,7.256499767303467
2025-12-08T09:00:00.000Z,0,0,7.356499671936035
2025-12-08T10:00:00.000Z,0,0,7.55649995803833
2025-12-08T11:00:00.000Z,0,0,7.406499862670898
2025-12-08T12:00:00.000Z,0,0,8.456500053405762
2025-12-08T13:00:00.000Z,0,0,9.606500625610352
2025-12-08T14:00:00.000Z,0,0,9.056500434875488
2025-12-08T15:00:00.000Z,0,0,8.856500625610352
2025-12-08T16:00:00.000Z,0,0,8.506500244140625
2025-12-08T17:00:00.000Z,0,0,7.506499767303467
2025-12-08T18:00:00.000Z,0,0,5.856499671936035
2025-12-08T19:00:00.000Z,0,0,5.006499767303467
2025-12-08T20:00:00.000Z,0,0,4.606499671936035
2025-12-08T21:00:00.000Z,0,0,3.756500005722046
2025-12-08T22:00:00.000Z,0,0,3.1064999103546143
2025-12-08T23:00:00.000Z,0,0,2.7065000534057617
2025-12-09T00:00:00.000Z,0,0,2.006500005722046
2025-12-09T01:00:00.000Z,0,0,1.55649995803833
2025-12-09T02:00:00.000Z,0,0,0.906499981880188
2025-12-09T03:00:00.000Z,0,0,0.20650000870227814
2025-12-09T04:00:00.000Z,0,0,-0.5435000061988831
2025-12-09T05:00:00.000Z,0,0,-0.44349998235702515
2025-12-09T06:00:00.000Z,0,0,-0.5435000061988831
2025-12-09T07:00:00.000Z,0,0,-0.2434999942779541
2025-12-09T08:00:00.000Z,0,0,1.756500005722046
